Category,Store,Link
Processors,Citilink,https://www.citilink.ru/product/processor-amd-ryzen-5-5600x-am4-oem-100-000000065-1773829/
Video-Cards,Citilink,https://www.citilink.ru/product/videokarta-msi-pci-e-5-0-rtx-5060-8g-gaming-oc-v1-nv-rtx5060-8gb-128bi-2189948/
